Trade Date;Close
13/7/2017;10
14/7/2017;9.89
17/7/2017;9.9
18/7/2017;9.9
19/7/2017;9.9
20/7/2017;9.9
21/7/2017;9.91
24/7/2017;9.91
25/7/2017;9.88
26/7/2017;9.86
27/7/2017;9.85
28/7/2017;9.8
31/7/2017;9.79
1/8/2017;9.76
2/8/2017;9.74
3/8/2017;9.71
4/8/2017;9.74
7/8/2017;9.76
8/8/2017;9.76
9/8/2017;9.72
10/8/2017;9.71
11/8/2017;9.67
14/8/2017;9.7
16/8/2017;9.65
17/8/2017;9.62
18/8/2017;9.61
21/8/2017;9.63
22/8/2017;9.69
23/8/2017;9.7
24/8/2017;9.71
25/8/2017;9.72
28/8/2017;9.73
29/8/2017;9.74
30/8/2017;9.73
31/8/2017;9.74
1/9/2017;9.75
4/9/2017;9.75
5/9/2017;9.77
6/9/2017;9.82
7/9/2017;9.82
8/9/2017;9.85
11/9/2017;9.87
12/9/2017;9.91
13/9/2017;9.91
14/9/2017;9.92
15/9/2017;9.93
18/9/2017;9.87
19/9/2017;9.83
20/9/2017;9.8
21/9/2017;9.83
22/9/2017;9.85
25/9/2017;9.86
26/9/2017;9.78
27/9/2017;9.69
28/9/2017;9.75
29/9/2017;9.79
2/10/2017;9.84
3/10/2017;9.83
4/10/2017;9.83
5/10/2017;9.84
6/10/2017;9.84
9/10/2017;9.84
10/10/2017;9.85
11/10/2017;9.88
12/10/2017;9.9
13/10/2017;9.93
16/10/2017;9.98
17/10/2017;10.01
18/10/2017;9.99
19/10/2017;9.95
20/10/2017;9.97
23/10/2017;9.97
24/10/2017;10
26/10/2017;9.99
27/10/2017;10
30/10/2017;10
31/10/2017;10.06
1/11/2017;10.22
2/11/2017;10.35
3/11/2017;10.33
6/11/2017;10.35
7/11/2017;10.38
8/11/2017;10.37
9/11/2017;10.32
10/11/2017;10.32
13/11/2017;10.4
14/11/2017;10.39
15/11/2017;10.39
16/11/2017;10.38
17/11/2017;10.4
20/11/2017;10.35
21/11/2017;10.31
22/11/2017;10.3
23/11/2017;10.28
24/11/2017;10.28
27/11/2017;10.31
28/11/2017;10.31
29/11/2017;10.24
30/11/2017;10.25
1/12/2017;10.26
4/12/2017;10.31
5/12/2017;10.86
6/12/2017;10.87
7/12/2017;10.88
8/12/2017;11.08
12/12/2017;11.17
13/12/2017;11.26
14/12/2017;11.4
15/12/2017;11.59
18/12/2017;11.63
19/12/2017;11.51
