Trade Date;Close
13/7/2017;10
14/7/2017;10.01
17/7/2017;10.02
18/7/2017;9.91
19/7/2017;9.96
20/7/2017;9.97
21/7/2017;9.87
24/7/2017;9.9
25/7/2017;9.84
26/7/2017;9.7
27/7/2017;9.56
28/7/2017;9.59
31/7/2017;9.51
1/8/2017;9.58
2/8/2017;9.68
3/8/2017;9.69
4/8/2017;9.73
7/8/2017;9.71
8/8/2017;9.73
9/8/2017;9.76
10/8/2017;9.76
11/8/2017;9.65
14/8/2017;9.7
16/8/2017;9.87
17/8/2017;9.74
18/8/2017;9.65
21/8/2017;9.67
22/8/2017;9.75
23/8/2017;9.7
24/8/2017;9.77
25/8/2017;9.77
28/8/2017;9.79
29/8/2017;9.6
30/8/2017;9.61
31/8/2017;9.63
1/9/2017;9.55
4/9/2017;9.44
5/9/2017;9.49
6/9/2017;9.47
7/9/2017;9.46
8/9/2017;9.38
11/9/2017;9.4
12/9/2017;9.47
13/9/2017;9.45
14/9/2017;9.21
15/9/2017;9.02
18/9/2017;8.86
19/9/2017;8.9
20/9/2017;8.88
21/9/2017;8.97
22/9/2017;9.07
25/9/2017;8.7
26/9/2017;8.66
27/9/2017;8.62
28/9/2017;8.84
29/9/2017;8.86
2/10/2017;8.73
3/10/2017;8.77
4/10/2017;8.75
5/10/2017;8.68
6/10/2017;8.69
9/10/2017;8.74
10/10/2017;8.78
11/10/2017;8.72
12/10/2017;8.74
13/10/2017;8.84
16/10/2017;8.89
17/10/2017;8.85
18/10/2017;8.8
19/10/2017;8.69
20/10/2017;8.72
23/10/2017;8.56
24/10/2017;8.59
26/10/2017;8.62
27/10/2017;8.61
30/10/2017;8.66
31/10/2017;8.82
1/11/2017;8.9
2/11/2017;8.85
3/11/2017;8.86
6/11/2017;8.84
7/11/2017;8.7
8/11/2017;8.63
9/11/2017;8.61
10/11/2017;8.54
13/11/2017;8.36
14/11/2017;8.39
15/11/2017;8.37
16/11/2017;8.19
17/11/2017;8.31
20/11/2017;8.29
21/11/2017;8.41
22/11/2017;8.39
23/11/2017;8.39
24/11/2017;8.4
27/11/2017;8.42
28/11/2017;8.43
29/11/2017;8.55
30/11/2017;8.57
1/12/2017;8.66
4/12/2017;8.58
5/12/2017;8.45
6/12/2017;8.41
7/12/2017;8.43
8/12/2017;8.57
12/12/2017;8.59
13/12/2017;8.71
14/12/2017;8.9
15/12/2017;8.91
18/12/2017;9.06
19/12/2017;9.05
20/12/2017;9.11
21/12/2017;9.14
22/12/2017;9.26
27/12/2017;9.32
28/12/2017;9.2
29/12/2017;9.24
2/1/2018;9.41
3/1/2018;9.39
4/1/2018;9.48
5/1/2018;9.53
8/1/2018;9.62
9/1/2018;9.66
10/1/2018;9.61
11/1/2018;9.72
12/1/2018;9.76
15/1/2018;9.72
16/1/2018;9.77
17/1/2018;9.63
18/1/2018;9.58
19/1/2018;9.69
22/1/2018;9.81
23/1/2018;9.96
24/1/2018;10.1
25/1/2018;10.04
26/1/2018;10.03
29/1/2018;10.13
30/1/2018;9.93
31/1/2018;10.05
1/2/2018;10.13
2/2/2018;10.02
5/2/2018;9.78
6/2/2018;9.62
7/2/2018;9.73
8/2/2018;9.64
9/2/2018;9.5
12/2/2018;9.44
13/2/2018;9.43
14/2/2018;9.47
15/2/2018;9.66
16/2/2018;9.69
20/2/2018;9.64
21/2/2018;9.61
22/2/2018;9.69
23/2/2018;9.68
26/2/2018;9.6
27/2/2018;9.61
28/2/2018;9.6
1/3/2018;9.54
2/3/2018;9.36
5/3/2018;9.17
6/3/2018;9.21
7/3/2018;9.2
8/3/2018;9.35
9/3/2018;9.45
12/3/2018;9.56
13/3/2018;9.54
14/3/2018;9.48
15/3/2018;9.41
16/3/2018;9.37
19/3/2018;9.31
20/3/2018;9.28
21/3/2018;9.23
22/3/2018;9.1
23/3/2018;9.08
26/3/2018;9.12
27/3/2018;9.17
28/3/2018;9.14
29/3/2018;9.02
30/3/2018;9.02
2/4/2018;9.02
3/4/2018;9
4/4/2018;9.01
5/4/2018;9.23
10/4/2018;9.34
11/4/2018;9.22
12/4/2018;9.29
13/4/2018;9.33
16/4/2018;9.43
17/4/2018;9.6
18/4/2018;9.66
19/4/2018;9.72
20/4/2018;9.68
23/4/2018;9.61
24/4/2018;9.61
25/4/2018;9.49
26/4/2018;9.61
27/4/2018;9.75
30/4/2018;9.85
2/5/2018;9.85
3/5/2018;9.66
4/5/2018;9.53
7/5/2018;9.43
8/5/2018;9.48
9/5/2018;9.47
10/5/2018;9.46
11/5/2018;9.52
14/5/2018;9.45
15/5/2018;9.29
16/5/2018;9.18
17/5/2018;9.16
18/5/2018;9.14
21/5/2018;9.17
22/5/2018;9.28
23/5/2018;9.19
24/5/2018;9.09
25/5/2018;8.96
29/5/2018;8.77
30/5/2018;8.87
31/5/2018;8.92
1/6/2018;9.12
4/6/2018;9.13
5/6/2018;9.24
6/6/2018;9.16
7/6/2018;9.13
8/6/2018;9.09
11/6/2018;9.03
12/6/2018;9.07
13/6/2018;9.11
14/6/2018;9.18
15/6/2018;9.04
18/6/2018;9.09
19/6/2018;9.05
20/6/2018;9.04
21/6/2018;9.1
22/6/2018;9.08
25/6/2018;9.13
26/6/2018;9.09
27/6/2018;9.1
28/6/2018;8.94
29/6/2018;9.04
2/7/2018;8.96
3/7/2018;8.94
4/7/2018;8.92
5/7/2018;8.97
6/7/2018;8.96
9/7/2018;9
10/7/2018;9.05
11/7/2018;8.96
12/7/2018;9.02
13/7/2018;9.12
16/7/2018;9.16
17/7/2018;9.16
18/7/2018;9.25
19/7/2018;9.18
20/7/2018;9.09
23/7/2018;9.07
24/7/2018;9.07
25/7/2018;9.1
26/7/2018;9.13
27/7/2018;9.11
30/7/2018;9.18
31/7/2018;9.19
2/8/2018;9.13
3/8/2018;9.19
6/8/2018;9.17
7/8/2018;9.19
8/8/2018;9.16
9/8/2018;9.14
10/8/2018;9.03
13/8/2018;8.84
14/8/2018;8.84
16/8/2018;8.71
17/8/2018;8.75
20/8/2018;8.76
21/8/2018;8.68
22/8/2018;8.79
23/8/2018;8.93
24/8/2018;8.87
27/8/2018;8.97
28/8/2018;8.97
29/8/2018;9.02
30/8/2018;9.02
31/8/2018;8.93
3/9/2018;8.93
4/9/2018;8.81
5/9/2018;8.69
6/9/2018;8.61
7/9/2018;8.6
10/9/2018;8.74
11/9/2018;8.66
12/9/2018;8.65
13/9/2018;8.55
14/9/2018;8.57
